4gtv,#genre#
原住民族電視台,http://2099.tv12.xyz/233_1765359341675.m3u8
TVBS HD,http://2099.tv12.xyz/234_1765359341675.m3u8
靖天育樂,http://2099.tv12.xyz/235_1765359341675.m3u8
靖天國際,http://2099.tv12.xyz/236_1765359341675.m3u8
靖天歡樂,http://2099.tv12.xyz/237_1765359341675.m3u8
靖天資訊,http://2099.tv12.xyz/238_1765359341675.m3u8
韓國娛樂台,http://2099.tv12.xyz/239_1765359341675.m3u8
東森購物三台,http://2099.tv12.xyz/240_1765359341675.m3u8
好消息,http://2099.tv12.xyz/241_1765359341675.m3u8
好消息2台,http://2099.tv12.xyz/242_1765359341675.m3u8
大愛二台,http://2099.tv12.xyz/243_1765359341675.m3u8
人間衛視,http://2099.tv12.xyz/244_1765359341675.m3u8
國會頻道1,http://2099.tv12.xyz/245_1765359341675.m3u8
國會頻道2,http://2099.tv12.xyz/246_1765359341675.m3u8
民視第一台,http://2099.tv12.xyz/247_1765359341675.m3u8
民視台灣台,http://2099.tv12.xyz/248_1765359341675.m3u8
中視,http://2099.tv12.xyz/249_1765359341675.m3u8
華視,http://2099.tv12.xyz/250_1765359341675.m3u8
中天亞洲台,http://2099.tv12.xyz/251_1765359341675.m3u8
三立綜合合,http://2099.tv12.xyz/252_1765359341675.m3u8
客家電視,http://2099.tv12.xyz/253_1765359341675.m3u8
中視菁采台,http://2099.tv12.xyz/254_1765359341675.m3u8
靖天綜合,http://2099.tv12.xyz/255_1765359341675.m3u8
靖天日本,http://2099.tv12.xyz/256_1765359341675.m3u8
Arirang TV,http://2099.tv12.xyz/257_1765359341675.m3u8
TVBS HD,http://2099.tv12.xyz/258_1765359341675.m3u8
靖天育樂,http://2099.tv12.xyz/259_1765359341675.m3u8
靖天國際,http://2099.tv12.xyz/260_1765359341675.m3u8
靖天歡樂,http://2099.tv12.xyz/261_1765359341675.m3u8
靖天資訊,http://2099.tv12.xyz/262_1765359341675.m3u8
韓國娛樂台,http://2099.tv12.xyz/263_1765359341675.m3u8
好消息,http://2099.tv12.xyz/264_1765359341675.m3u8
好消息2台,http://2099.tv12.xyz/265_1765359341675.m3u8
國會頻道1,http://2099.tv12.xyz/266_1765359341675.m3u8
國會頻道2,http://2099.tv12.xyz/267_1765359341675.m3u8
台視HD,http://2099.tv12.xyz/268_1765359341675.m3u8
